first_name,last_name,full_name,phone_number,email_address,SN,region,unique_id,date_hired,address,gender,age,branch,branch_status,branch_head,dept,dept_status,dept_head,associate_training,senior_training,managerial_training,att_ytd,_06_Jan_23,comment06012023,input_location_06_Jan_23,_13_Jan_23,comment13012023,input_location_13_Jan_23,_20_Jan_23,comment20012023,input_location_20_Jan_23,_27_Jan_23,comment27012023,input_location_27_Jan_23,_03_Feb_23,comment03022023,input_location_03_Feb_23,_10_Feb_23,comment10022023,input_location_10_Feb_23,_17_Feb_23,comment17022023,input_location_17_Feb_23,_24_Feb_23,comment24022023,input_location_24_Feb_23,_03_Mar_23,comment03032023,input_location_03_Mar_23,_10_Mar_23,comment10032023,input_location_10_Mar_23,_17_Mar_23,comment17032023,input_location_17_Mar_23,_24_Mar_23,comment24032023,input_location_24_Mar_23,_31_Mar_23,comment31032023,input_location_31_Mar_23,_07_Apr_23,comment07042023,input_location_07_Apr_23,_14_Apr_23,comment14042023,input_location_14_Apr_23,_21_Apr_23,comment21042023,input_location_21_Apr_23,_28_Apr_23,comment28042023,input_location_28_Apr_23,_05_May_23,comment05052023,input_location_05_May_23,_12_May_23,comment12052023,input_location_12_May_23,_19_May_23,comment19052023,input_location_19_May_23,_26_May_23,comment26052023,input_location_26_May_23,_02_Jun_23,comment02062023,input_location_02_Jun_23,_09_Jun_23,comment09062023,input_location_09_Jun_23,_16_Jun_23,comment16062023,input_location_16_Jun_23,_23_Jun_23,comment23062023,input_location_23_Jun_23,_30_Jun_23,comment30062023,input_location_30_Jun_23,_07_Jul_23,comment07072023,input_location_07_Jul_23,_14_Jul_23,comment14072023,input_location_14_Jul_23,_21_Jul_23,comment21072023,input_location_21_Jul_23,_28_Jul_23,comment28072023,input_location_28_Jul_23,_04_Aug_23,comment04082023,input_location_04_Aug_23,_11_Aug_23,comment11082023,input_location_11_Aug_23,_18_Aug_23,comment18082023,input_location_18_Aug_23,_25_Aug_23,comment25082023,input_location_25_Aug_23,_01_Sep_23,comment01092023,input_location_01_Sep_23,_08_Sep_23,comment08092023,input_location_08_Sep_23,_15_Sep_23,comment15092023,input_location_15_Sep_23,_22_Sep_23,comment22092023,input_location_22_Sep_23,_29_Sep_23,comment29092023,input_location_29_Sep_23,_06_Oct_23,comment06102023,input_location_06_Oct_23,_13_Oct_23,comment13102023,input_location_13_Oct_23,_20_Oct_23,comment20102023,input_location_20_Oct_23,_27_Oct_23,comment27102023,input_location_27_Oct_23,_03_Nov_23,comment03112023,input_location_03_Nov_23,_10_Nov_23,comment10112023,input_location_10_Nov_23,_17_Nov_23,comment17112023,input_location_17_Nov_23,_24_Nov_23,comment24112023,input_location_24_Nov_23,_01_Dec_23,comment01122023,input_location_01_Dec_23,_08_Dec_23,comment08122023,input_location_08_Dec_23,_15_Dec_23,comment15122023,input_location_15_Dec_23,_22_Dec_23,comment22122023,input_location_22_Dec_23,_29_Dec_23,comment29122023,input_location_29_Dec_23
Crystal,Barnes,Crystal Barnes,1800779525,crystalbarnes@buymart.org,153,USA,BM-153-US,2022-12-31 00:00:00+00:00,00722 Reese Camp Suite 834,F,30,Massachusetts,Branch Manager,Crystal Barnes,Technology,Staff,Alexander Page,done,done,done,57.89,Incomplete,,Technology USA,Completed,,Massachusetts USA,Completed,,Technology USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,Technology USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,Technology USA,Incomplete,,Massachusetts USA,Completed,,Technology USA,Completed,,Massachusetts USA,Completed,,HR USA,Completed,,Technology USA,Completed,,HR USA,Completed,,Massachusetts USA,Completed,,Massachusetts USA,Incomplete,,HR USA,Completed,,Technology USA,Completed,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynthia,Hunt,Cynthia Hunt,1800135728,cynthiahunt@buymart.org,154,USA,BM-154-US,2022-12-31 00:00:00+00:00,2641 Schaefer Corners Apt. 246,F,44,Kentucky,Branch Worker,Benjamin Dennis,Technology,Staff,Alexander Page,,,,52.63,Completed,,Kentucky USA,Incomplete,,Technology USA,Completed,,Technology USA,Incomplete,,Kentucky USA,Incomplete,,HR USA,Completed,,Kentucky USA,Incomplete,,HR USA,Completed,,HR USA,Incomplete,,Technology USA,Completed,,Kentucky USA,Completed,,HR USA,Incomplete,,Technology USA,Completed,,Kentucky USA,Completed,,Technology USA,Completed,,HR USA,Completed,,Kentucky USA,Incomplete,,Kentucky USA,Incomplete,,Technology USA,Incomplete,,HR USA,Incomplete,,Technology USA,Completed,,Technology USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynthia,Wall,Cynthia Wall,1800991503,cynthiawall@buymart.org,155,USA,BM-155-US,2022-12-31 00:00:00+00:00,1716 Walker Streets Suite 034,F,47,Texas,Branch Worker,Alexander Coleman,Merchandising,Staff,Brent Lozano,,,,84.21,Completed,,Merchandising USA,Incomplete,,HR USA,Completed,,Merchandising USA,Completed,,Texas USA,Completed,,Texas USA,Completed,,Merchandising USA,Completed,,Texas USA,Completed,,Texas USA,Completed,,Texas USA,Completed,,HR USA,Completed,,Texas USA,Completed,,HR USA,Completed,,Texas USA,Incomplete,,HR USA,Completed,,HR USA,Completed,,Merchandising USA,Completed,,Texas USA,Incomplete,,HR USA,Completed,,Texas USA,Completed,,HR USA,Incomplete,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dana,Cruz,Dana Cruz,1800602437,danacruz@buymart.org,156,USA,BM-156-US,2022-12-31 00:00:00+00:00,46725 Holt Point,F,54,SouthCarolina,Branch Manager,Dana Cruz,CustomerService,Staff,Amanda Rogers,done,done,done,63.16,Completed,,HR USA,Incomplete,,CustomerService USA,Completed,,CustomerService USA,Completed,,HR USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,SouthCarolina USA,Completed,,SouthCarolina USA,Completed,,SouthCarolina USA,Completed,,SouthCarolina USA,Completed,,HR USA,Completed,,SouthCarolina USA,Completed,,HR USA,Incomplete,,CustomerService USA,Completed,,CustomerService USA,Completed,,CustomerService USA,Completed,,SouthCarolina USA,Incomplete,,CustomerService USA,Incomplete,,SouthCarolina USA,Completed,,SouthCarolina USA,Incomplete,,CustomerService USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielle,Craig,Danielle Craig,1800959627,daniellecraig@buymart.org,157,USA,BM-157-US,2022-12-31 00:00:00+00:00,0976 Donald Views,F,23,Tennessee,Branch Worker,Brandon Ray,Technology,Staff,Alexander Page,,,,36.84,Incomplete,,Technology USA,Completed,,Technology USA,Completed,,HR USA,Incomplete,,Tennessee USA,Incomplete,,HR USA,Incomplete,,Technology USA,Incomplete,,Tennessee USA,Completed,,Technology USA,Incomplete,,HR USA,Completed,,Tennessee USA,Completed,,Tennessee USA,Incomplete,,Technology USA,Completed,,HR USA,Incomplete,,Tennessee USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,Technology USA,Completed,,Technology USA,Incomplete,,Tennessee USA,Incomplete,,Technology USA,Incomplete,,Tennessee USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielle,Friedman,Danielle Friedman,1800429982,daniellefriedman@buymart.org,158,USA,BM-158-US,2022-12-31 00:00:00+00:00,159 Farmer Shore Apt. 245,F,31,California,Branch Worker,Alicia Jenkins,CustomerService,Staff,Amanda Rogers,,,,47.37,Incomplete,,HR USA,Completed,,CustomerService USA,Completed,,California USA,Incomplete,,HR USA,Incomplete,,California USA,Completed,,CustomerService USA,Incomplete,,California USA,Completed,,California USA,Incomplete,,California USA,Incomplete,,HR USA,Completed,,HR USA,Completed,,California USA,Incomplete,,California USA,Incomplete,,HR USA,Incomplete,,CustomerService USA,Completed,,California USA,Completed,,California USA,Completed,,CustomerService USA,Incomplete,,California USA,Completed,,California USA,Incomplete,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielle,Nichols,Danielle Nichols,1800152579,daniellenichols@buymart.org,159,USA,BM-159-US,2022-12-31 00:00:00+00:00,1809 Bonnie Plaza Apt. 311,F,43,NorthCarolina,Branch Worker,Daniel Davis,Technology,Staff,Alexander Page,,,,47.37,Incomplete,,Technology USA,Completed,,NorthCarolina USA,Completed,,Technology USA,Completed,,NorthCarolina USA,Incomplete,,HR USA,Completed,,HR USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,Technology USA,Completed,,Technology USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,NorthCarolina USA,Completed,,Technology USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,Technology USA,Completed,,NorthCarolina USA,Incomplete,,HR USA,Incomplete,,HR USA,Completed,,Technology USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielle,Pierce,Danielle Pierce,1800972400,daniellepierce@buymart.org,160,USA,BM-160-US,2022-12-31 00:00:00+00:00,9220 Jacobs Heights,F,33,Washington,Branch Worker,Anthony Jacobs,Marketing,Staff,Anthony Soto,done,,,52.63,Completed,,Marketing USA,Incomplete,,Washington USA,Completed,,Marketing USA,Completed,,Marketing USA,Incomplete,,Washington USA,Completed,,Washington USA,Completed,,Washington USA,Completed,,Marketing USA,Completed,,Washington USA,Incomplete,,HR USA,Completed,,Washington USA,Incomplete,,Marketing USA,Incomplete,,Washington USA,Incomplete,,Marketing USA,Completed,,Washington USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,Washington USA,Completed,,Washington USA,Incomplete,,Marketing USA,Incomplete,,Marketing USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell,Olson,Darrell Olson,1800579199,darrellolson@buymart.org,161,USA,BM-161-US,2022-12-31 00:00:00+00:00,2269 Crystal Manors Apt. 611,M,39,Texas,Branch Worker,Alexander Coleman,HumanResources,Staff,Amanda Castillo,done,,,52.63,Incomplete,,HumanResources USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,HR USA,Incomplete,,HR USA,Incomplete,,Texas USA,Incomplete,,Texas USA,Completed,,HR USA,Completed,,HumanResources USA,Completed,,HumanResources USA,Incomplete,,HumanResources USA,Incomplete,,Texas USA,Completed,,Texas USA,Completed,,Texas USA,Completed,,HumanResources USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,HumanResources USA,Incomplete,,Texas USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell,Romero,Darrell Romero,1800414429,darrellromero@buymart.org,162,USA,BM-162-US,2022-12-31 00:00:00+00:00,49877 Kenneth Greens,M,24,Illinois,Branch Worker,Candace Gonzalez,CustomerService,Staff,Amanda Rogers,,,,42.11,Incomplete,,Illinois USA,Incomplete,,Illinois USA,Completed,,CustomerService USA,Completed,,CustomerService USA,Incomplete,,CustomerService USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,Illinois USA,Incomplete,,CustomerService USA,Incomplete,,CustomerService USA,Completed,,CustomerService USA,Completed,,Illinois USA,Completed,,HR USA,Completed,,CustomerService USA,Completed,,HR USA,Incomplete,,Illinois USA,Completed,,CustomerService USA,Incomplete,,Illinois USA,Incomplete,,HR USA,Completed,,Illinois USA,Completed,,CustomerService USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,Long,David Long,1800534217,davidlong@buymart.org,163,USA,BM-163-US,2022-12-31 00:00:00+00:00,721 Tabitha Bridge,M,51,Florida,Branch Worker,Anna Ellis,Product,Staff,Andrew Johns,,,,21.05,Incomplete,,Product USA,Incomplete,,Florida USA,Incomplete,,Product USA,Incomplete,,Florida USA,Completed,,Product USA,Incomplete,,Product USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,Product USA,Completed,,Florida USA,Completed,,Florida USA,Incomplete,,Product USA,Incomplete,,Florida USA,Completed,,Florida USA,Incomplete,,HR USA,Incomplete,,Florida USA,Incomplete,,Florida USA,Incomplete,,Florida USA,Incomplete,,HR USA,Incomplete,,Product USA,Completed,,Florida USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,Miller,David Miller,1800468042,davidmiller@buymart.org,164,USA,BM-164-US,2022-12-31 00:00:00+00:00,58105 Green Shoal Apt. 835,M,23,Texas,Branch Worker,Alexander Coleman,Marketing,Staff,Anthony Soto,done,,,52.63,Completed,,HR USA,Completed,,HR USA,Incomplete,,Texas USA,Completed,,HR USA,Incomplete,,Texas USA,Completed,,Texas USA,Incomplete,,HR USA,Incomplete,,Texas USA,Completed,,HR USA,Completed,,HR USA,Completed,,HR USA,Incomplete,,Marketing USA,Incomplete,,HR USA,Incomplete,,Texas USA,Incomplete,,Texas USA,Completed,,Texas USA,Completed,,HR USA,Completed,,HR USA,Incomplete,,HR USA,Incomplete,,Marketing USA,Incomplete,,Texas USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,Moore,David Moore,1800476102,davidmoore@buymart.org,165,USA,BM-165-US,2022-12-31 00:00:00+00:00,36565 Martin Keys Suite 503,M,36,NewJersey,Branch Worker,Andrea Mccoy,CustomerService,Staff,Amanda Rogers,,,,47.37,Incomplete,,NewJersey USA,Incomplete,,HR USA,Incomplete,,CustomerService USA,Completed,,HR USA,Completed,,HR USA,Incomplete,,CustomerService USA,Incomplete,,CustomerService USA,Completed,,NewJersey USA,Completed,,CustomerService USA,Incomplete,,HR USA,Completed,,CustomerService USA,Incomplete,,HR USA,Completed,,NewJersey USA,Completed,,NewJersey USA,Completed,,HR USA,Completed,,HR USA,Incomplete,,NewJersey USA,Incomplete,,HR USA,Incomplete,,CustomerService USA,Incomplete,,HR USA,Completed,,NewJersey USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deanna,Brown,Deanna Brown,1800282854,deannabrown@buymart.org,166,USA,BM-166-US,2022-12-31 00:00:00+00:00,57036 Timothy Meadow Suite 078,F,25,Kansas,Branch Manager,Deanna Brown,Merchandising,Staff,Brent Lozano,done,done,done,57.89,Completed,,Kansas USA,Incomplete,,HR USA,Incomplete,,Kansas USA,Completed,,Merchandising USA,Completed,,HR USA,Completed,,HR USA,Incomplete,,Merchandising USA,Incomplete,,Merchandising USA,Completed,,HR USA,Completed,,HR USA,Completed,,Merchandising USA,Incomplete,,Kansas USA,Completed,,Kansas USA,Completed,,Merchandising USA,Incomplete,,HR USA,Completed,,HR USA,Completed,,Merchandising USA,Incomplete,,HR USA,Incomplete,,Merchandising USA,Incomplete,,Kansas USA,Completed,,Merchandising USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donna,Frank,Donna Frank,1800122035,donnafrank@buymart.org,167,USA,BM-167-US,2022-12-31 00:00:00+00:00,6578 Weber Views,F,54,NorthCarolina,Branch Worker,Daniel Davis,DataAnalyst,Staff,Allison Arnold,,,,42.11,Incomplete,,HR USA,Incomplete,,DataAnalyst USA,Completed,,NorthCarolina USA,Completed,,HR USA,Incomplete,,HR USA,Incomplete,,HR USA,Completed,,DataAnalyst USA,Incomplete,,DataAnalyst USA,Completed,,HR USA,Incomplete,,DataAnalyst USA,Completed,,DataAnalyst USA,Incomplete,,NorthCarolina USA,Completed,,NorthCarolina USA,Completed,,DataAnalyst USA,Incomplete,,HR USA,Incomplete,,DataAnalyst USA,Incomplete,,NorthCarolina USA,Incomplete,,DataAnalyst USA,Completed,,DataAnalyst USA,Incomplete,,NorthCarolina USA,Completed,,DataAnalyst USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan,Gordon,Dylan Gordon,1800985933,dylangordon@buymart.org,168,USA,BM-168-US,2022-12-31 00:00:00+00:00,4659 Mckay Knolls Suite 623,M,49,California,Branch Worker,Alicia Jenkins,HumanResources,Staff,Amanda Castillo,,,,31.58,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,California USA,Completed,,HR USA,Incomplete,,California USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,HR USA,Completed,,California USA,Completed,,California USA,Incomplete,,HR USA,Incomplete,,California USA,Incomplete,,HR USA,Completed,,HR USA,Completed,,HR USA,Completed,,HumanResources USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie,Roberts,Eddie Roberts,1800472278,eddieroberts@buymart.org,169,USA,BM-169-US,2022-12-31 00:00:00+00:00,1093 Hannah Street,M,51,California,Branch Worker,Alicia Jenkins,DataAnalyst,Staff,Allison Arnold,,,,36.84,Incomplete,,HR USA,Incomplete,,DataAnalyst USA,Incomplete,,DataAnalyst USA,Completed,,California USA,Completed,,DataAnalyst USA,Incomplete,,California USA,Completed,,HR USA,Incomplete,,California USA,Incomplete,,DataAnalyst USA,Completed,,HR USA,Completed,,California USA,Incomplete,,DataAnalyst USA,Incomplete,,DataAnalyst USA,Incomplete,,California USA,Completed,,California USA,Incomplete,,DataAnalyst USA,Incomplete,,California USA,Incomplete,,DataAnalyst USA,Completed,,HR USA,Incomplete,,DataAnalyst USA,Incomplete,,California USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward,Davis,Edward Davis,1800609177,edwarddavis@buymart.org,170,USA,BM-170-US,2022-12-31 00:00:00+00:00,9808 Tina Stream Suite 832,M,49,Texas,Branch Worker,Alexander Coleman,DataAnalyst,Staff,Allison Arnold,done,,,47.37,Completed,,HR USA,Completed,,HR USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,Texas USA,Completed,,HR USA,Incomplete,,HR USA,Incomplete,,DataAnalyst USA,Incomplete,,Texas USA,Completed,,HR USA,Completed,,Texas USA,Incomplete,,HR USA,Completed,,DataAnalyst USA,Completed,,DataAnalyst USA,Incomplete,,DataAnalyst USA,Completed,,Texas USA,Incomplete,,DataAnalyst USA,Completed,,HR USA,Incomplete,,HR USA,Incomplete,,HR USA,Completed,,DataAnalyst USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward,Hogan,Edward Hogan,1800267055,edwardhogan@buymart.org,171,USA,BM-171-US,2022-12-31 00:00:00+00:00,32811 Tonya Point Apt. 455,M,43,Texas,Branch Worker,Alexander Coleman,Product,Staff,Andrew Johns,,,,47.37,Incomplete,,Texas USA,Incomplete,,Product USA,Incomplete,,Product USA,Completed,,Product USA,Incomplete,,Texas USA,Completed,,HR USA,Completed,,Product USA,Incomplete,,Product USA,Completed,,Product USA,Incomplete,,Product USA,Completed,,HR USA,Completed,,Product USA,Incomplete,,Product USA,Incomplete,,HR USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,Texas USA,Incomplete,,Product USA,Completed,,Product USA,Completed,,Product USA,Incomplete,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily,Smith,Emily Smith,1800162156,emilysmith@buymart.org,172,USA,BM-172-US,2022-12-31 00:00:00+00:00,250 Mcdaniel Views Apt. 170,F,51,Arkansas,Branch Worker,Christopher Cannon,DataAnalyst,Staff,Allison Arnold,done,,,52.63,Completed,,HR USA,Incomplete,,HR USA,Completed,,Arkansas USA,Completed,,DataAnalyst USA,Completed,,DataAnalyst USA,Incomplete,,Arkansas USA,Incomplete,,DataAnalyst USA,Completed,,HR USA,Completed,,DataAnalyst USA,Completed,,DataAnalyst USA,Incomplete,,Arkansas USA,Completed,,Arkansas USA,Incomplete,,DataAnalyst USA,Completed,,DataAnalyst USA,Completed,,HR USA,Incomplete,,DataAnalyst USA,Incomplete,,DataAnalyst USA,Incomplete,,HR USA,Incomplete,,DataAnalyst USA,Completed,,Arkansas USA,Completed,,DataAnalyst USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gail,Ward,Gail Ward,1800879006,gailward@buymart.org,173,USA,BM-173-US,2022-12-31 00:00:00+00:00,288 Bell Islands Apt. 734,F,45,Nevada,Branch Worker,Beth Vincent,DataAnalyst,Staff,Allison Arnold,done,,,52.63,Completed,,Nevada USA,Incomplete,,HR USA,Completed,,HR USA,Incomplete,,DataAnalyst USA,Completed,,HR USA,Incomplete,,Nevada USA,Incomplete,,DataAnalyst USA,Completed,,Nevada USA,Completed,,Nevada USA,Completed,,HR USA,Incomplete,,Nevada USA,Incomplete,,DataAnalyst USA,Completed,,HR USA,Completed,,HR USA,Completed,,DataAnalyst USA,Completed,,Nevada USA,Incomplete,,HR USA,Incomplete,,HR USA,Incomplete,,DataAnalyst USA,Incomplete,,DataAnalyst USA,Completed,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary,Stanley,Gary Stanley,1800840838,garystanley@buymart.org,174,USA,BM-174-US,2022-12-31 00:00:00+00:00,9176 Douglas Isle,M,45,Texas,Branch Worker,Alexander Coleman,Merchandising,Staff,Brent Lozano,done,,,73.68,Incomplete,,HR USA,Completed,,Merchandising USA,Incomplete,,Texas USA,Completed,,Merchandising USA,Completed,,HR USA,Incomplete,,Merchandising USA,Completed,,Merchandising USA,Completed,,Texas USA,Incomplete,,Merchandising USA,Completed,,Merchandising USA,Completed,,HR USA,Completed,,Merchandising USA,Completed,,Texas USA,Completed,,Merchandising USA,Completed,,Merchandising USA,Completed,,Texas USA,Incomplete,,Texas USA,Completed,,Merchandising USA,Completed,,Merchandising USA,Completed,,Merchandising USA,Completed,,Merchandising USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,Rhodes,Glenn Rhodes,1800596814,glennrhodes@buymart.org,175,USA,BM-175-US,2022-12-31 00:00:00+00:00,938 Lisa Heights Suite 270,M,52,Washington,Branch Worker,Anthony Jacobs,Product,Staff,Andrew Johns,done,,,42.11,Incomplete,,HR USA,Incomplete,,Washington USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,Product USA,Completed,,HR USA,Incomplete,,Product USA,Incomplete,,Washington USA,Completed,,HR USA,Incomplete,,Washington USA,Completed,,Product USA,Completed,,Product USA,Incomplete,,Product USA,Completed,,Washington USA,Completed,,Washington USA,Incomplete,,Product USA,Incomplete,,Product USA,Incomplete,,Washington USA,Incomplete,,Product USA,Completed,,Product USA,Completed,,Washington USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloria,Carter,Gloria Carter,1800886363,gloriacarter@buymart.org,176,USA,BM-176-US,2022-12-31 00:00:00+00:00,2383 Harding Skyway,F,35,Florida,Branch Worker,Anna Ellis,Merchandising,Staff,Brent Lozano,,,,42.11,Incomplete,,Florida USA,Completed,,Merchandising USA,Incomplete,,Florida USA,Completed,,HR USA,Completed,,Merchandising USA,Incomplete,,HR USA,Incomplete,,Merchandising USA,Incomplete,,Merchandising USA,Completed,,HR USA,Completed,,HR USA,Incomplete,,HR USA,Incomplete,,Merchandising USA,Incomplete,,Florida USA,Completed,,Merchandising USA,Completed,,Merchandising USA,Incomplete,,HR USA,Incomplete,,HR USA,Completed,,Merchandising USA,Incomplete,,Merchandising USA,Incomplete,,Merchandising USA,Completed,,Merchandising USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haley,Rivera,Haley Rivera,1800277449,haleyrivera@buymart.org,177,USA,BM-177-US,2022-12-31 00:00:00+00:00,73448 Nicholson Gateway Suite 332,F,42,California,Branch Worker,Alicia Jenkins,UserExperience,Staff,Abigail Johnson,done,,,68.42,Incomplete,,HR USA,Completed,,UserExperience USA,Completed,,UserExperience USA,Incomplete,,UserExperience USA,Completed,,California USA,Incomplete,,UserExperience USA,Completed,,UserExperience USA,Completed,,California USA,Completed,,California USA,Completed,,California USA,Completed,,HR USA,Incomplete,,UserExperience USA,Completed,,HR USA,Incomplete,,HR USA,Incomplete,,HR USA,Completed,,California USA,Completed,,UserExperience USA,Completed,,UserExperience USA,Completed,,UserExperience USA,Incomplete,,UserExperience USA,Incomplete,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
